Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.49%
ICICI Bank Ltd.,Financial,Equity,8.80%
Bharti Airtel Ltd.,Telecom,Equity,6.16%
Reliance Industries Ltd.,Energy,Equity,5.84%
Infosys Ltd.,IT Services,Equity,5.22%
Axis Bank Ltd.,Financial,Equity,4.91%
Larsen & Toubro Ltd.,Construction,Equity,4.53%
NTPC Ltd.,Power,Equity,3.87%
TCS Ltd.,IT Services,Equity,3.65%
Maruti Suzuki India Ltd.,Automobile,Equity,3.42%
